class_id,class_name,first_letter,length,word_count
152,DECIDE,D,6,1
153,DIE,D,3,1
154,DIRTY,D,5,1
155,DIVORCE,D,7,1
156,DOCTOR,D,6,1
157,DONT CARE,D,9,2
158,DONT KNOW,D,9,2
159,DONT LIKE,D,9,2
160,DONT NEED,D,9,2
161,DONT WANT,D,9,2
162,DOOR,D,4,1
163,DOWN,D,4,1
164,DREAM,D,5,1
165,DRINK,D,5,1
166,DRIVE,D,5,1
167,DROP,D,4,1
168,DRUNK,D,5,1
169,EASY,E,4,1
170,EAT,E,3,1
171,EMAIL,E,5,1
172,EMOTION,E,7,1
173,EMPTY,E,5,1
174,ENJOY,E,5,1
175,EQUAL,E,5,1
176,EXCITED,E,7,1
177,EXERCISE,E,8,1
178,EXPENSIVE,E,9,1
179,EXPERIENCE,E,10,1
180,FALL,F,4,1
181,FAMILY,F,6,1
182,FAST,F,4,1
183,FATHER,F,6,1
184,FAVORITE,F,8,1
185,FEEL,F,4,1
186,FIGHT,F,5,1
187,FINE,F,4,1
188,FINGERSPELL,F,11,1
189,FINISH,F,6,1
190,FIX,F,3,1
191,FLOOR,F,5,1
192,FOR,F,3,1
193,FOUR,F,4,1
194,FRANCE,F,6,1
195,FREE,F,4,1
196,FRIDAY,F,6,1
197,FRIEND,F,6,1
198,FRIENDLY,F,8,1
199,FULL,F,4,1
200,FUNNY,F,5,1
201,GAME,G,4,1
202,GET,G,3,1
203,GIRL,G,4,1
204,GIVE,G,4,1
205,GLASSES,G,7,1
206,GO,G,2,1
207,GONE,G,4,1
208,GRADUATE,G,8,1
209,GRANDFATHER,G,11,1
210,GROUP,G,5,1
211,GROW UP,G,7,2
212,HAIR,H,4,1
213,HAMBURGER,H,9,1
214,HAPPY,H,5,1
215,HARD,H,4,1
216,HAVE,H,4,1
217,HE,H,2,1
218,HEADACHE,H,8,1
219,HEARING,H,7,1
220,HEART,H,5,1
221,HEAVY,H,5,1
222,HELLO,H,5,1
223,HELP,H,4,1
224,HIGH,H,4,1
225,HOCKEY,H,6,1
226,HOME,H,4,1
227,HONEST,H,6,1
228,HONOR,H,5,1
229,HOSPITAL,H,8,1
230,HOT,H,3,1
231,HOTDOG,H,6,1
232,HOUSE,H,5,1
233,HOW,H,3,1
234,HUNGRY,H,6,1
235,I LOVE YOU,I,10,3
236,IF,I,2,1
237,IMAGINE,I,7,1
238,IMPORTANT,I,9,1
239,IMPOSSIBLE,I,10,1
240,IN,I,2,1
241,INTERNET,I,8,1
242,INVITE,I,6,1
243,JACKET,J,6,1
244,JEALOUS,J,7,1
245,KEY,K,3,1
246,KID,K,3,1
247,KNIFE,K,5,1
248,KNOW,K,4,1
249,LANGUAGE,L,8,1
250,LAST,L,4,1
251,LATE,L,4,1
252,LATER,L,5,1
253,LAUGH,L,5,1
254,LEARN,L,5,1
255,LEAVE,L,5,1
256,LECTURE,L,7,1
257,LEFT,L,4,1
258,LEND,L,4,1
259,LETTER,L,6,1
260,LIBRARY,L,7,1
261,LIGHT,L,5,1
262,LIKE,L,4,1
263,LISTEN,L,6,1
264,LIVE,L,4,1
265,LONELY,L,6,1
266,LONG,L,4,1
267,LOOK FOR,L,8,2
268,LOUD,L,4,1
269,MACHINE,M,7,1
270,MAGAZINE,M,8,1
271,MAKE,M,4,1
272,MAN,M,3,1
273,MARRY,M,5,1
274,MAYBE,M,5,1
275,ME,M,2,1
276,MEAN,M,4,1
277,MEET,M,4,1
278,MILK,M,4,1
279,MISS,M,4,1
280,MISUNDERSTAND,M,13,1
281,MODEL,M,5,1
282,MONDAY,M,6,1
283,MONEY1,M,6,1
284,MONEY2,M,6,1
285,MONTH,M,5,1
286,MORE,M,4,1
287,MORNING,M,7,1
288,MOST,M,4,1
289,MOTHER,M,6,1
290,MUCH,M,4,1
291,MUST,M,4,1
292,MY,M,2,1
293,NAME,N,4,1
294,NEW,N,3,1
295,NICE,N,4,1
296,NO,N,2,1
297,NONE,N,4,1
298,NOT,N,3,1
299,NUMBERS,N,7,1
300,NURSE,N,5,1
301,OFFICE,O,6,1
302,OH I SEE,O,8,3
303,ONION,O,5,1
304,OTHER,O,5,1
305,OUT,O,3,1
306,PAIN,P,4,1
307,PARENTS,P,7,1
308,PARK,P,4,1
309,PAST,P,4,1
310,PATIENT,P,7,1
311,PEN,P,3,1
312,PENCIL,P,6,1
313,PEOPLE,P,6,1
314,PERSON,P,6,1
315,PHONE,P,5,1
316,PITY,P,4,1
317,PLAY,P,4,1
318,PLEASE,P,6,1
319,POOR,P,4,1
320,POTATO,P,6,1
321,PRACTICE,P,8,1
322,PRESIDENT,P,9,1
323,PRETTY,P,6,1
324,PRINT,P,5,1
325,QUIET,Q,5,1
326,RAIN,R,4,1
327,READ,R,4,1
328,READY,R,5,1
329,REASON,R,6,1
330,RELATIONSHIP,R,12,1
331,RELAX,R,5,1
332,RESTAURANT,R,10,1
333,RICH,R,4,1
334,RIGHT,R,5,1
335,ROOM,R,4,1
336,RUN,R,3,1
337,SAD,S,3,1
338,SALAD,S,5,1
339,SAME,S,4,1
340,SCARED,S,6,1
341,SELF,S,4,1
342,SELL,S,4,1
343,SHOP,S,4,1
344,SHOULD,S,6,1
345,SHOW,S,4,1
346,SHOWER,S,6,1
347,SHY,S,3,1
348,SICK,S,4,1
349,SISTER,S,6,1
350,SIT,S,3,1
351,SLEEP,S,5,1
352,SLOW,S,4,1
353,SMALL,S,5,1
354,SMART,S,5,1
355,SON,S,3,1
356,SORRY,S,5,1
357,STAND,S,5,1
358,START,S,5,1
359,STATE,S,5,1
360,STAY,S,4,1
361,STILL,S,5,1
362,STOP,S,4,1
363,STRANGE,S,7,1
364,STRESS,S,6,1
365,STRONG,S,6,1
366,STUBBORN,S,8,1
367,STUDENT,S,7,1
368,STUDY,S,5,1
369,STUPID,S,6,1
370,SUMMER,S,6,1
371,SURE,S,4,1
372,SURPRISE,S,8,1
373,TABLE,T,5,1
374,TAKE,T,4,1
375,TAKE CARE,T,9,2
376,TALL,T,4,1
377,TEA,T,3,1
378,TEACH,T,5,1
379,TEACHER,T,7,1
380,TEAM,T,4,1
381,TELL,T,4,1
382,TEST,T,4,1
383,THAT,T,4,1
384,THEY,T,4,1
385,THIN,T,4,1
386,THIRSTY,T,7,1
387,THREE,T,5,1
388,THURSDAY,T,8,1
389,TIME,T,4,1
390,TIRED,T,5,1
391,TODAY,T,5,1
392,TOMORROW,T,8,1
393,TRAIN,T,5,1
394,TRAVEL,T,6,1
395,TRY,T,3,1
396,TV,T,2,1
397,TWO,T,3,1
398,TYPE,T,4,1
399,UGLY,U,4,1
400,UNCLE,U,5,1
401,UNDERSTAND,U,10,1
402,UNIVERSITY,U,10,1
403,UP,U,2,1
404,VACATION,V,8,1
405,VISIT,V,5,1
406,WAIT,W,4,1
407,WALK,W,4,1
408,WANT,W,4,1
409,WARM,W,4,1
410,WARN,W,4,1
411,WASH,W,4,1
412,WATER,W,5,1
413,WE,W,2,1
414,WEAK,W,4,1
415,WEAR,W,4,1
416,WEDNESDAY,W,9,1
417,WEEK,W,4,1
418,WELCOME,W,7,1
419,WHAT,W,4,1
420,WHAT FOR,W,8,2
421,WHERE,W,5,1
422,WHICH,W,5,1
423,WHO,W,3,1
424,WHY,W,3,1
425,WIFE,W,4,1
426,WILL,W,4,1
427,WINDOW,W,6,1
428,WISE,W,4,1
429,WOLF,W,4,1
430,WONDER,W,6,1
431,WORK,W,4,1
432,WORLD,W,5,1
433,WORRY,W,5,1
434,WRITE,W,5,1
435,YEAR,Y,4,1
436,YES,Y,3,1
437,YESTERDAY,Y,9,1
438,YOU,Y,3,1
439,YOUNG,Y,5,1
440,YOUR,Y,4,1
