,precision,recall,f1-score,support
BIG,1.0,1.0,1.0,5.0
BIRTH,1.0,0.6,0.75,5.0
BLUE,0.8333333333333334,1.0,0.9090909090909091,5.0
BODY,1.0,1.0,1.0,5.0
BOOK,0.8333333333333334,1.0,0.9090909090909091,5.0
BORED,0.875,0.7,0.7777777777777778,10.0
BORROW,1.0,1.0,1.0,5.0
BOSS,1.0,1.0,1.0,5.0
BOY,1.0,1.0,1.0,5.0
BREAD,1.0,1.0,1.0,5.0
BREAK,1.0,1.0,1.0,5.0
BREAKDOWN,1.0,1.0,1.0,5.0
BROTHER,1.0,1.0,1.0,5.0
BUS,1.0,0.8,0.8888888888888888,5.0
BUT,1.0,1.0,1.0,5.0
BUTTER,0.8,0.8,0.8,5.0
BUY,1.0,0.6,0.75,5.0
CALL,0.9,0.9,0.9,10.0
CAMERA,1.0,1.0,1.0,5.0
CAN,0.8888888888888888,0.8,0.8421052631578947,10.0
CANADA,1.0,0.6,0.75,5.0
CANDY,0.9,0.9,0.9,10.0
CANNOT,1.0,0.8,0.8888888888888888,5.0
CAR,0.8333333333333334,1.0,0.9090909090909091,5.0
CARRY,1.0,1.0,1.0,5.0
CENTER,1.0,1.0,1.0,5.0
CHAIR,1.0,1.0,1.0,5.0
CHALLENGE,0.7142857142857143,1.0,0.8333333333333334,5.0
CHAT,0.8333333333333334,1.0,0.9090909090909091,5.0
CHEAP,0.8333333333333334,1.0,0.9090909090909091,5.0
CHECK,0.8,0.8,0.8,5.0
CHILD,0.8,0.8,0.8,5.0
CHILDREN,1.0,1.0,1.0,5.0
CHOCOLATE,1.0,0.8,0.8888888888888888,5.0
CHURCH,1.0,1.0,1.0,5.0
CITY,0.8181818181818182,0.9,0.8571428571428571,10.0
CLASS,1.0,1.0,1.0,5.0
CLEAN,1.0,0.8,0.8888888888888888,5.0
COFFEE,0.75,0.6,0.6666666666666666,5.0
COLD,1.0,1.0,1.0,5.0
COLLEGE,0.8333333333333334,1.0,0.9090909090909091,5.0
COMFORTABLE,0.8333333333333334,1.0,0.9090909090909091,5.0
COMMUNICATION,1.0,1.0,1.0,5.0
COMPUTER,0.75,0.6,0.6666666666666666,5.0
CONFUSED,1.0,0.8,0.8888888888888888,10.0
COOK,0.8333333333333334,1.0,0.9090909090909091,5.0
COOL,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
COUNTRY,1.0,1.0,1.0,5.0
COUSIN,1.0,0.8,0.8888888888888888,5.0
CRAZY,1.0,0.6,0.75,5.0
DAY,1.0,1.0,1.0,5.0
DECIDE,1.0,1.0,1.0,10.0
DIE,0.75,0.6,0.6666666666666666,5.0
DIRTY,0.6666666666666666,0.8,0.7272727272727273,5.0
DIVORCE,1.0,1.0,1.0,5.0
DOCTOR,0.9,0.9,0.9,10.0
DONT CARE,1.0,0.8,0.8888888888888888,5.0
DONT KNOW,1.0,1.0,1.0,5.0
DONT LIKE,1.0,1.0,1.0,5.0
DONT NEED,0.8,0.8,0.8,5.0
DONT WANT,0.8,0.8,0.8,5.0
DOOR,1.0,1.0,1.0,5.0
DOWN,1.0,0.6,0.75,5.0
DREAM,0.8333333333333334,1.0,0.9090909090909091,5.0
DRINK,0.9090909090909091,1.0,0.9523809523809523,10.0
DRIVE,1.0,1.0,1.0,5.0
DROP,1.0,1.0,1.0,5.0
DRUNK,1.0,0.8,0.8888888888888888,5.0
EASY,1.0,1.0,1.0,5.0
EAT,1.0,1.0,1.0,10.0
EMAIL,1.0,1.0,1.0,5.0
EMOTION,0.8,0.8,0.8,5.0
EMPTY,0.8333333333333334,1.0,0.9090909090909091,10.0
ENJOY,1.0,0.8,0.8888888888888888,5.0
EQUAL,0.8,0.8,0.8,5.0
EXCITED,1.0,1.0,1.0,5.0
EXERCISE,1.0,1.0,1.0,5.0
EXPENSIVE,1.0,1.0,1.0,5.0
EXPERIENCE,0.8333333333333334,1.0,0.9090909090909091,5.0
FALL,1.0,0.6,0.75,10.0
FAMILY,1.0,1.0,1.0,5.0
FAST,1.0,1.0,1.0,5.0
FATHER,0.8333333333333334,1.0,0.9090909090909091,5.0
FAVORITE,1.0,0.8,0.8888888888888888,5.0
FEEL,1.0,0.6,0.75,5.0
FIGHT,1.0,1.0,1.0,5.0
FINE,0.6666666666666666,0.8,0.7272727272727273,10.0
FINGERSPELL,0.8333333333333334,1.0,0.9090909090909091,5.0
FINISH,0.7142857142857143,1.0,0.8333333333333334,5.0
FIX,1.0,0.6,0.75,5.0
FLOOR,1.0,1.0,1.0,5.0
FOR,0.8333333333333334,1.0,0.9090909090909091,5.0
FOUR,1.0,1.0,1.0,5.0
FRANCE,1.0,1.0,1.0,5.0
FREE,0.8333333333333334,1.0,0.9090909090909091,5.0
FRIDAY,1.0,0.8,0.8888888888888888,5.0
FRIEND,0.8333333333333334,1.0,0.9090909090909091,5.0
FRIENDLY,1.0,0.8,0.8888888888888888,5.0
FULL,1.0,0.6,0.75,5.0
FUNNY,1.0,1.0,1.0,5.0
GAME,1.0,1.0,1.0,5.0
GET,1.0,0.8,0.8888888888888888,5.0
GIRL,0.6666666666666666,0.8,0.7272727272727273,5.0
GIVE,0.5714285714285714,0.8,0.6666666666666666,5.0
GLASSES,1.0,0.8,0.8888888888888888,5.0
GO,0.6666666666666666,0.4,0.5,5.0
GONE,1.0,1.0,1.0,5.0
GRADUATE,1.0,1.0,1.0,5.0
GRANDFATHER,1.0,0.6,0.75,5.0
GROUP,1.0,1.0,1.0,5.0
GROW UP,1.0,0.6,0.75,5.0
HAIR,1.0,1.0,1.0,5.0
HAMBURGER,1.0,0.8,0.8888888888888888,5.0
HAPPY,1.0,0.5,0.6666666666666666,4.0
HARD,1.0,1.0,1.0,5.0
HAVE,1.0,0.6,0.75,5.0
HE,1.0,1.0,1.0,4.0
HEADACHE,1.0,1.0,1.0,5.0
HEARING,1.0,1.0,1.0,5.0
HEART,1.0,1.0,1.0,5.0
HEAVY,0.75,0.6,0.6666666666666666,5.0
HELLO,1.0,1.0,1.0,5.0
HELP,0.8,0.8,0.8,5.0
HIGH,1.0,0.8,0.8888888888888888,5.0
HOCKEY,0.625,1.0,0.7692307692307693,5.0
HOME,1.0,1.0,1.0,5.0
HONEST,1.0,0.8,0.8888888888888888,5.0
HONOR,1.0,0.8,0.8888888888888888,5.0
HOSPITAL,1.0,1.0,1.0,10.0
HOT,0.8333333333333334,1.0,0.9090909090909091,5.0
HOTDOG,1.0,1.0,1.0,5.0
HOUSE,1.0,0.8,0.8888888888888888,5.0
HOW,0.75,1.0,0.8571428571428571,6.0
HUNGRY,0.8,1.0,0.8888888888888888,4.0
I LOVE YOU,1.0,1.0,1.0,5.0
IF,1.0,1.0,1.0,5.0
IMAGINE,1.0,1.0,1.0,10.0
IMPORTANT,1.0,1.0,1.0,5.0
IMPOSSIBLE,0.6666666666666666,0.8,0.7272727272727273,5.0
IN,0.8333333333333334,1.0,0.9090909090909091,5.0
INTERNET,1.0,1.0,1.0,4.0
INVITE,0.8333333333333334,1.0,0.9090909090909091,5.0
JACKET,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
JEALOUS,1.0,1.0,1.0,5.0
KEY,0.8333333333333334,1.0,0.9090909090909091,5.0
KID,0.7142857142857143,1.0,0.8333333333333334,5.0
KNIFE,1.0,0.9,0.9473684210526315,10.0
KNOW,1.0,0.8,0.8888888888888888,5.0
LANGUAGE,1.0,0.8,0.8888888888888888,5.0
LAST,1.0,1.0,1.0,5.0
LATE,1.0,1.0,1.0,5.0
LATER,0.8333333333333334,1.0,0.9090909090909091,5.0
LAUGH,1.0,1.0,1.0,5.0
LEARN,1.0,1.0,1.0,5.0
LEAVE,1.0,0.8,0.8888888888888888,5.0
LECTURE,1.0,1.0,1.0,5.0
LEFT,1.0,1.0,1.0,5.0
LEND,1.0,1.0,1.0,5.0
LETTER,0.9090909090909091,1.0,0.9523809523809523,10.0
LIBRARY,0.8,0.8,0.8,5.0
LIGHT,1.0,0.6,0.75,5.0
LIKE,1.0,0.6,0.75,5.0
LISTEN,1.0,1.0,1.0,5.0
LIVE,0.8571428571428571,0.6,0.7058823529411765,10.0
LONELY,0.8333333333333334,1.0,0.9090909090909091,5.0
LONG,1.0,1.0,1.0,5.0
LOOK FOR,1.0,1.0,1.0,5.0
LOUD,1.0,1.0,1.0,5.0
MACHINE,0.7142857142857143,1.0,0.8333333333333334,5.0
MAGAZINE,1.0,1.0,1.0,5.0
MAKE,0.75,0.6,0.6666666666666666,5.0
MAN,1.0,1.0,1.0,5.0
MARRY,1.0,1.0,1.0,5.0
MAYBE,1.0,1.0,1.0,5.0
ME,0.8,1.0,0.8888888888888888,4.0
MEAN,1.0,0.8,0.8888888888888888,10.0
MEET,1.0,1.0,1.0,4.0
MILK,0.8333333333333334,1.0,0.9090909090909091,10.0
MISS,1.0,0.8,0.8888888888888888,5.0
MISUNDERSTAND,1.0,0.8,0.8888888888888888,5.0
MODEL,1.0,1.0,1.0,6.0
MONDAY,0.8333333333333334,1.0,0.9090909090909091,5.0
MONEY1,1.0,0.6,0.75,5.0
MONEY2,0.6,0.6,0.6,5.0
MONTH,1.0,0.8,0.8888888888888888,5.0
MORE,0.8333333333333334,1.0,0.9090909090909091,5.0
MORNING,1.0,0.8,0.8888888888888888,5.0
MOST,0.6666666666666666,0.8,0.7272727272727273,5.0
MOTHER,1.0,1.0,1.0,5.0
MUCH,1.0,1.0,1.0,5.0
MUST,1.0,0.8,0.8888888888888888,5.0
MY,0.6666666666666666,0.8,0.7272727272727273,5.0
NAME,0.7142857142857143,1.0,0.8333333333333334,5.0
NEW,1.0,0.6,0.75,5.0
NICE,0.8,1.0,0.8888888888888888,4.0
NO,1.0,1.0,1.0,5.0
NONE,0.75,0.6,0.6666666666666666,5.0
NOT,0.8,1.0,0.8888888888888888,4.0
NUMBERS,0.8333333333333334,1.0,0.9090909090909091,5.0
NURSE,1.0,0.8,0.8888888888888888,5.0
OFFICE,1.0,1.0,1.0,5.0
OH I SEE,0.8,0.8,0.8,5.0
ONION,1.0,1.0,1.0,5.0
OTHER,1.0,1.0,1.0,5.0
OUT,1.0,1.0,1.0,5.0
PAIN,1.0,1.0,1.0,5.0
PARENTS,1.0,1.0,1.0,5.0
PARK,1.0,1.0,1.0,5.0
PAST,1.0,1.0,1.0,5.0
PATIENT,0.8235294117647058,1.0,0.9032258064516129,14.0
PEN,0.6666666666666666,0.8,0.7272727272727273,5.0
PENCIL,1.0,1.0,1.0,5.0
PEOPLE,1.0,0.8,0.8888888888888888,5.0
PERSON,0.8333333333333334,1.0,0.9090909090909091,5.0
PHONE,1.0,1.0,1.0,5.0
PITY,0.8333333333333334,1.0,0.9090909090909091,5.0
PLAY,0.8333333333333334,1.0,0.9090909090909091,5.0
PLEASE,0.5555555555555556,1.0,0.7142857142857143,5.0
POOR,0.8333333333333334,1.0,0.9090909090909091,5.0
POTATO,1.0,1.0,1.0,5.0
PRACTICE,1.0,1.0,1.0,5.0
PRESIDENT,1.0,1.0,1.0,5.0
PRETTY,0.75,0.6,0.6666666666666666,5.0
PRINT,1.0,0.8,0.8888888888888888,5.0
QUIET,0.8333333333333334,1.0,0.9090909090909091,5.0
RAIN,1.0,1.0,1.0,5.0
READ,0.8,0.8,0.8,5.0
READY,0.8333333333333334,1.0,0.9090909090909091,5.0
REASON,0.8333333333333334,1.0,0.9090909090909091,5.0
RELATIONSHIP,0.8333333333333334,1.0,0.9090909090909091,5.0
RELAX,1.0,0.6,0.75,5.0
RESTAURANT,1.0,1.0,1.0,5.0
RICH,1.0,1.0,1.0,5.0
RIGHT,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
ROOM,1.0,1.0,1.0,5.0
RUN,1.0,1.0,1.0,10.0
SAD,0.75,0.6,0.6666666666666666,5.0
SALAD,1.0,0.8,0.8888888888888888,5.0
SAME,0.6666666666666666,0.4,0.5,5.0
SCARED,1.0,0.8,0.8888888888888888,5.0
SELF,0.8333333333333334,1.0,0.9090909090909091,5.0
SELL,1.0,1.0,1.0,5.0
SHOP,0.7692307692307693,1.0,0.8695652173913043,10.0
SHOULD,0.8333333333333334,1.0,0.9090909090909091,5.0
SHOW,0.8333333333333334,1.0,0.9090909090909091,5.0
SHOWER,1.0,0.8,0.8888888888888888,5.0
SHY,1.0,0.8,0.8888888888888888,5.0
SICK,0.7142857142857143,1.0,0.8333333333333334,5.0
SISTER,0.6666666666666666,0.8,0.7272727272727273,5.0
SIT,1.0,0.8,0.8888888888888888,5.0
SLEEP,0.5555555555555556,1.0,0.7142857142857143,5.0
SLOW,0.6,0.75,0.6666666666666666,4.0
SMALL,1.0,1.0,1.0,5.0
SMART,1.0,1.0,1.0,5.0
SON,1.0,1.0,1.0,5.0
SORRY,0.8,0.8,0.8,5.0
STAND,1.0,0.9,0.9473684210526315,10.0
START,0.8333333333333334,1.0,0.9090909090909091,5.0
STATE,1.0,0.8,0.8888888888888888,5.0
STAY,1.0,1.0,1.0,5.0
STILL,1.0,0.8,0.8888888888888888,5.0
STOP,1.0,0.75,0.8571428571428571,4.0
STRANGE,1.0,1.0,1.0,5.0
STRESS,1.0,0.8,0.8888888888888888,5.0
STRONG,1.0,0.6,0.75,5.0
STUBBORN,1.0,1.0,1.0,5.0
STUDENT,0.8333333333333334,1.0,0.9090909090909091,5.0
STUDY,1.0,1.0,1.0,5.0
STUPID,0.8333333333333334,1.0,0.9090909090909091,10.0
SUMMER,0.8333333333333334,1.0,0.9090909090909091,5.0
SURE,1.0,1.0,1.0,5.0
SURPRISE,0.8333333333333334,1.0,0.9090909090909091,5.0
TABLE,1.0,1.0,1.0,5.0
TAKE,1.0,1.0,1.0,5.0
TAKE CARE,1.0,1.0,1.0,5.0
TALL,0.7692307692307693,1.0,0.8695652173913043,10.0
TEA,1.0,1.0,1.0,5.0
TEACH,0.9090909090909091,1.0,0.9523809523809523,10.0
TEACHER,1.0,0.8,0.8888888888888888,5.0
TEAM,1.0,1.0,1.0,5.0
TELL,0.8333333333333334,1.0,0.9090909090909091,5.0
TEST,1.0,1.0,1.0,5.0
THAT,0.8333333333333334,1.0,0.9090909090909091,5.0
THEY,1.0,0.8888888888888888,0.9411764705882353,9.0
THIN,1.0,1.0,1.0,5.0
THIRSTY,1.0,1.0,1.0,5.0
THREE,1.0,1.0,1.0,5.0
THURSDAY,1.0,1.0,1.0,5.0
TIME,0.8333333333333334,1.0,0.9090909090909091,5.0
TIRED,1.0,1.0,1.0,5.0
TODAY,1.0,1.0,1.0,4.0
TOMORROW,0.8,0.8,0.8,5.0
TRAIN,1.0,1.0,1.0,5.0
TRAVEL,0.8333333333333334,1.0,0.9090909090909091,5.0
TRY,1.0,1.0,1.0,5.0
TV,1.0,1.0,1.0,5.0
TWO,1.0,0.8,0.8888888888888888,5.0
TYPE,1.0,1.0,1.0,10.0
UGLY,1.0,1.0,1.0,5.0
UNCLE,0.8,0.8,0.8,5.0
UNDERSTAND,1.0,1.0,1.0,5.0
UNIVERSITY,1.0,1.0,1.0,5.0
UP,1.0,1.0,1.0,5.0
VACATION,1.0,0.8,0.8888888888888888,5.0
VISIT,1.0,1.0,1.0,5.0
WAIT,0.8333333333333334,1.0,0.9090909090909091,5.0
WALK,1.0,0.8,0.8888888888888888,10.0
WANT,0.8181818181818182,0.9,0.8571428571428571,10.0
WARM,1.0,0.8,0.8888888888888888,5.0
WARN,1.0,0.8,0.8888888888888888,5.0
WASH,0.9090909090909091,1.0,0.9523809523809523,10.0
WATER,1.0,1.0,1.0,5.0
WE,1.0,1.0,1.0,5.0
WEAK,0.75,0.6,0.6666666666666666,5.0
WEAR,1.0,0.75,0.8571428571428571,4.0
WEDNESDAY,0.8,0.8,0.8,5.0
WEEK,1.0,0.8,0.8888888888888888,5.0
WELCOME,1.0,0.875,0.9333333333333333,8.0
WHAT,0.6666666666666666,1.0,0.8,6.0
WHAT FOR,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
WHERE,0.8,0.8,0.8,5.0
WHICH,1.0,0.8,0.8888888888888888,5.0
WHO,1.0,0.8,0.8888888888888888,5.0
WHY,1.0,1.0,1.0,4.0
WIFE,1.0,1.0,1.0,5.0
WILL,0.625,1.0,0.7692307692307693,5.0
WINDOW,1.0,0.8,0.8888888888888888,5.0
WISE,1.0,1.0,1.0,5.0
WOLF,1.0,0.6,0.75,5.0
WONDER,1.0,0.8,0.8888888888888888,5.0
WORK,1.0,1.0,1.0,4.0
WORLD,1.0,0.8,0.8888888888888888,5.0
WORRY,1.0,1.0,1.0,5.0
WRITE,0.6666666666666666,0.8,0.7272727272727273,5.0
YEAR,0.6666666666666666,1.0,0.8,4.0
YES,0.7142857142857143,1.0,0.8333333333333334,5.0
YESTERDAY,0.8,0.8,0.8,5.0
YOU,1.0,0.8,0.8888888888888888,5.0
YOUNG,1.0,1.0,1.0,4.0
YOUR,0.8,1.0,0.8888888888888888,4.0
accuracy,0.9131524008350731,0.9131524008350731,0.9131524008350731,0.9131524008350731
macro avg,0.9276856307679163,0.9145033312684584,0.9133855190372389,2395.0
weighted avg,0.9259252204806668,0.9131524008350731,0.9120881592217628,2395.0
