gloss,count,files_names
GO,31,GO 1.npy;GO 10.npy;GO 11.npy;GO 12.npy;GO 13.npy;GO 14.npy;GO 15.npy;GO 16.npy;GO 17.npy;GO 18.npy;GO 19.npy;GO 2.npy;GO 20.npy;GO 21.npy;GO 22.npy;GO 23.npy;GO 24.npy;GO 25.npy;GO 26.npy;GO 27.npy;GO 28.npy;GO 29.npy;GO 3.npy;GO 30.npy;GO 31.npy;GO 4.npy;GO 5.npy;GO 6.npy;GO 7.npy;GO 8.npy;GO 9.npy
COME,30,COME 1.npy;COME 10.npy;COME 11.npy;COME 12.npy;COME 13.npy;COME 14.npy;COME 15.npy;COME 16.npy;COME 17.npy;COME 18.npy;COME 19.npy;COME 2.npy;COME 20.npy;COME 21.npy;COME 22.npy;COME 23.npy;COME 24.npy;COME 25.npy;COME 26.npy;COME 27.npy;COME 28.npy;COME 29.npy;COME 3.npy;COME 30.npy;COME 4.npy;COME 5.npy;COME 6.npy;COME 7.npy;COME 8.npy;COME 9.npy
NOW,30,NOW 1.npy;NOW 10.npy;NOW 11.npy;NOW 12.npy;NOW 13.npy;NOW 14.npy;NOW 15.npy;NOW 16.npy;NOW 17.npy;NOW 18.npy;NOW 19.npy;NOW 2.npy;NOW 20.npy;NOW 21.npy;NOW 22.npy;NOW 23.npy;NOW 24.npy;NOW 25.npy;NOW 26.npy;NOW 27.npy;NOW 28.npy;NOW 29.npy;NOW 3.npy;NOW 30.npy;NOW 4.npy;NOW 5.npy;NOW 6.npy;NOW 7.npy;NOW 8.npy;NOW 9.npy
LATER,32,LATER 1.npy;LATER 10.npy;LATER 11.npy;LATER 12.npy;LATER 13.npy;LATER 14.npy;LATER 15.npy;LATER 16.npy;LATER 17.npy;LATER 18.npy;LATER 19.npy;LATER 2.npy;LATER 20.npy;LATER 21.npy;LATER 22.npy;LATER 23.npy;LATER 24.npy;LATER 25.npy;LATER 26.npy;LATER 27.npy;LATER 28.npy;LATER 29.npy;LATER 3.npy;LATER 30.npy;LATER 31.npy;LATER 32.npy;LATER 4.npy;LATER 5.npy;LATER 6.npy;LATER 7.npy;LATER 8.npy;LATER 9.npy
TODAY,30,TODAY 1.npy;TODAY 10.npy;TODAY 11.npy;TODAY 12.npy;TODAY 13.npy;TODAY 14.npy;TODAY 15.npy;TODAY 16.npy;TODAY 17.npy;TODAY 18.npy;TODAY 19.npy;TODAY 2.npy;TODAY 20.npy;TODAY 21.npy;TODAY 22.npy;TODAY 23.npy;TODAY 24.npy;TODAY 25.npy;TODAY 26.npy;TODAY 27.npy;TODAY 28.npy;TODAY 29.npy;TODAY 3.npy;TODAY 30.npy;TODAY 4.npy;TODAY 5.npy;TODAY 6.npy;TODAY 7.npy;TODAY 8.npy;TODAY 9.npy
TOMORROW,30,TOMORROW 1.npy;TOMORROW 10.npy;TOMORROW 11.npy;TOMORROW 12.npy;TOMORROW 13.npy;TOMORROW 14.npy;TOMORROW 15.npy;TOMORROW 16.npy;TOMORROW 17.npy;TOMORROW 18.npy;TOMORROW 19.npy;TOMORROW 2.npy;TOMORROW 20.npy;TOMORROW 21.npy;TOMORROW 22.npy;TOMORROW 23.npy;TOMORROW 24.npy;TOMORROW 25.npy;TOMORROW 26.npy;TOMORROW 27.npy;TOMORROW 28.npy;TOMORROW 29.npy;TOMORROW 3.npy;TOMORROW 30.npy;TOMORROW 4.npy;TOMORROW 5.npy;TOMORROW 6.npy;TOMORROW 7.npy;TOMORROW 8.npy;TOMORROW 9.npy
YESTERDAY,30,YESTERDAY 1.npy;YESTERDAY 10.npy;YESTERDAY 11.npy;YESTERDAY 12.npy;YESTERDAY 13.npy;YESTERDAY 14.npy;YESTERDAY 15.npy;YESTERDAY 16.npy;YESTERDAY 17.npy;YESTERDAY 18.npy;YESTERDAY 19.npy;YESTERDAY 2.npy;YESTERDAY 20.npy;YESTERDAY 21.npy;YESTERDAY 22.npy;YESTERDAY 23.npy;YESTERDAY 24.npy;YESTERDAY 25.npy;YESTERDAY 26.npy;YESTERDAY 27.npy;YESTERDAY 28.npy;YESTERDAY 29.npy;YESTERDAY 3.npy;YESTERDAY 30.npy;YESTERDAY 4.npy;YESTERDAY 5.npy;YESTERDAY 6.npy;YESTERDAY 7.npy;YESTERDAY 8.npy;YESTERDAY 9.npy
MONTH,30,MONTH 1.npy;MONTH 10.npy;MONTH 11.npy;MONTH 12.npy;MONTH 13.npy;MONTH 14.npy;MONTH 15.npy;MONTH 16.npy;MONTH 17.npy;MONTH 18.npy;MONTH 19.npy;MONTH 2.npy;MONTH 20.npy;MONTH 21.npy;MONTH 22.npy;MONTH 23.npy;MONTH 24.npy;MONTH 25.npy;MONTH 26.npy;MONTH 27.npy;MONTH 28.npy;MONTH 29.npy;MONTH 3.npy;MONTH 30.npy;MONTH 4.npy;MONTH 5.npy;MONTH 6.npy;MONTH 7.npy;MONTH 8.npy;MONTH 9.npy
BEFORE,30,BEFORE 1.npy;BEFORE 10.npy;BEFORE 11.npy;BEFORE 12.npy;BEFORE 13.npy;BEFORE 14.npy;BEFORE 15.npy;BEFORE 16.npy;BEFORE 17.npy;BEFORE 18.npy;BEFORE 19.npy;BEFORE 2.npy;BEFORE 20.npy;BEFORE 21.npy;BEFORE 22.npy;BEFORE 23.npy;BEFORE 24.npy;BEFORE 25.npy;BEFORE 26.npy;BEFORE 27.npy;BEFORE 28.npy;BEFORE 29.npy;BEFORE 3.npy;BEFORE 30.npy;BEFORE 4.npy;BEFORE 5.npy;BEFORE 6.npy;BEFORE 7.npy;BEFORE 8.npy;BEFORE 9.npy
START,30,START 1.npy;START 10.npy;START 11.npy;START 12.npy;START 13.npy;START 14.npy;START 15.npy;START 16.npy;START 17.npy;START 18.npy;START 19.npy;START 2.npy;START 20.npy;START 21.npy;START 22.npy;START 23.npy;START 24.npy;START 25.npy;START 26.npy;START 27.npy;START 28.npy;START 29.npy;START 3.npy;START 30.npy;START 4.npy;START 5.npy;START 6.npy;START 7.npy;START 8.npy;START 9.npy
SCHOOL,30,SCHOOL 1.npy;SCHOOL 10.npy;SCHOOL 11.npy;SCHOOL 12.npy;SCHOOL 13.npy;SCHOOL 14.npy;SCHOOL 15.npy;SCHOOL 16.npy;SCHOOL 17.npy;SCHOOL 18.npy;SCHOOL 19.npy;SCHOOL 2.npy;SCHOOL 20.npy;SCHOOL 21.npy;SCHOOL 22.npy;SCHOOL 23.npy;SCHOOL 24.npy;SCHOOL 25.npy;SCHOOL 26.npy;SCHOOL 27.npy;SCHOOL 28.npy;SCHOOL 29.npy;SCHOOL 3.npy;SCHOOL 30.npy;SCHOOL 4.npy;SCHOOL 5.npy;SCHOOL 6.npy;SCHOOL 7.npy;SCHOOL 8.npy;SCHOOL 9.npy
STUDY,30,STUDY 1.npy;STUDY 10.npy;STUDY 11.npy;STUDY 12.npy;STUDY 13.npy;STUDY 14.npy;STUDY 15.npy;STUDY 16.npy;STUDY 17.npy;STUDY 18.npy;STUDY 19.npy;STUDY 2.npy;STUDY 20.npy;STUDY 21.npy;STUDY 22.npy;STUDY 23.npy;STUDY 24.npy;STUDY 25.npy;STUDY 26.npy;STUDY 27.npy;STUDY 28.npy;STUDY 29.npy;STUDY 3.npy;STUDY 30.npy;STUDY 4.npy;STUDY 5.npy;STUDY 6.npy;STUDY 7.npy;STUDY 8.npy;STUDY 9.npy
TEACH,62,TEACH 1.npy;TEACH 10.npy;TEACH 11.npy;TEACH 12.npy;TEACH 13.npy;TEACH 14.npy;TEACH 15.npy;TEACH 16.npy;TEACH 17.npy;TEACH 18.npy;TEACH 19.npy;TEACH 2.npy;TEACH 20.npy;TEACH 21.npy;TEACH 22.npy;TEACH 23.npy;TEACH 24.npy;TEACH 25.npy;TEACH 26.npy;TEACH 27.npy;TEACH 28.npy;TEACH 29.npy;TEACH 3.npy;TEACH 30.npy;TEACH 31.npy;TEACH 32.npy;TEACH 33.npy;TEACH 34.npy;TEACH 35.npy;TEACH 36.npy;TEACH 37.npy;TEACH 38.npy;TEACH 39.npy;TEACH 4.npy;TEACH 40.npy;TEACH 41.npy;TEACH 42.npy;TEACH 43.npy;TEACH 44.npy;TEACH 45.npy;TEACH 46.npy;TEACH 47.npy;TEACH 48.npy;TEACH 49.npy;TEACH 5.npy;TEACH 50.npy;TEACH 51.npy;TEACH 52.npy;TEACH 53.npy;TEACH 54.npy;TEACH 55.npy;TEACH 56.npy;TEACH 57.npy;TEACH 58.npy;TEACH 59.npy;TEACH 6.npy;TEACH 60.npy;TEACH 61.npy;TEACH 62.npy;TEACH 7.npy;TEACH 8.npy;TEACH 9.npy
STUDENT,30,STUDENT 1.npy;STUDENT 10.npy;STUDENT 11.npy;STUDENT 12.npy;STUDENT 13.npy;STUDENT 14.npy;STUDENT 15.npy;STUDENT 16.npy;STUDENT 17.npy;STUDENT 18.npy;STUDENT 19.npy;STUDENT 2.npy;STUDENT 20.npy;STUDENT 21.npy;STUDENT 22.npy;STUDENT 23.npy;STUDENT 24.npy;STUDENT 25.npy;STUDENT 26.npy;STUDENT 27.npy;STUDENT 28.npy;STUDENT 29.npy;STUDENT 3.npy;STUDENT 30.npy;STUDENT 4.npy;STUDENT 5.npy;STUDENT 6.npy;STUDENT 7.npy;STUDENT 8.npy;STUDENT 9.npy
TEACHER,31,TEACHER 1.npy;TEACHER 10.npy;TEACHER 11.npy;TEACHER 12.npy;TEACHER 13.npy;TEACHER 14.npy;TEACHER 15.npy;TEACHER 16.npy;TEACHER 17.npy;TEACHER 18.npy;TEACHER 19.npy;TEACHER 2.npy;TEACHER 20.npy;TEACHER 21.npy;TEACHER 22.npy;TEACHER 23.npy;TEACHER 24.npy;TEACHER 25.npy;TEACHER 26.npy;TEACHER 27.npy;TEACHER 28.npy;TEACHER 29.npy;TEACHER 3.npy;TEACHER 30.npy;TEACHER 31.npy;TEACHER 4.npy;TEACHER 5.npy;TEACHER 6.npy;TEACHER 7.npy;TEACHER 8.npy;TEACHER 9.npy
EAT,63,EAT 1.npy;EAT 10.npy;EAT 11.npy;EAT 12.npy;EAT 13.npy;EAT 14.npy;EAT 15.npy;EAT 16.npy;EAT 17.npy;EAT 18.npy;EAT 19.npy;EAT 2.npy;EAT 20.npy;EAT 21.npy;EAT 22.npy;EAT 23.npy;EAT 24.npy;EAT 25.npy;EAT 26.npy;EAT 27.npy;EAT 28.npy;EAT 29.npy;EAT 3.npy;EAT 30.npy;EAT 31.npy;EAT 32.npy;EAT 33.npy;EAT 34.npy;EAT 35.npy;EAT 36.npy;EAT 37.npy;EAT 38.npy;EAT 39.npy;EAT 4.npy;EAT 40.npy;EAT 41.npy;EAT 42.npy;EAT 43.npy;EAT 44.npy;EAT 45.npy;EAT 46.npy;EAT 47.npy;EAT 48.npy;EAT 49.npy;EAT 5.npy;EAT 50.npy;EAT 51.npy;EAT 52.npy;EAT 53.npy;EAT 54.npy;EAT 55.npy;EAT 56.npy;EAT 57.npy;EAT 58.npy;EAT 59.npy;EAT 6.npy;EAT 60.npy;EAT 61.npy;EAT 62.npy;EAT 63.npy;EAT 7.npy;EAT 8.npy;EAT 9.npy
WATER,30,WATER 1.npy;WATER 10.npy;WATER 11.npy;WATER 12.npy;WATER 13.npy;WATER 14.npy;WATER 15.npy;WATER 16.npy;WATER 17.npy;WATER 18.npy;WATER 19.npy;WATER 2.npy;WATER 20.npy;WATER 21.npy;WATER 22.npy;WATER 23.npy;WATER 24.npy;WATER 25.npy;WATER 26.npy;WATER 27.npy;WATER 28.npy;WATER 29.npy;WATER 3.npy;WATER 30.npy;WATER 4.npy;WATER 5.npy;WATER 6.npy;WATER 7.npy;WATER 8.npy;WATER 9.npy
